date_key,full_date,year,quarter_num,quarter_label,month,month_name
20240701,2024-07-01,2024,3,2024Q3,7,Jul
20240801,2024-08-01,2024,3,2024Q3,8,Aug
20240901,2024-09-01,2024,3,2024Q3,9,Sep
20241001,2024-10-01,2024,4,2024Q4,10,Oct
20241101,2024-11-01,2024,4,2024Q4,11,Nov
20241201,2024-12-01,2024,4,2024Q4,12,Dec
20250101,2025-01-01,2025,1,2025Q1,1,Jan
20250201,2025-02-01,2025,1,2025Q1,2,Feb
20250301,2025-03-01,2025,1,2025Q1,3,Mar
20250401,2025-04-01,2025,2,2025Q2,4,Apr
20250501,2025-05-01,2025,2,2025Q2,5,May
20250601,2025-06-01,2025,2,2025Q2,6,Jun
20250701,2025-07-01,2025,3,2025Q3,7,Jul
20250801,2025-08-01,2025,3,2025Q3,8,Aug
20250901,2025-09-01,2025,3,2025Q3,9,Sep
20251001,2025-10-01,2025,4,2025Q4,10,Oct
20251101,2025-11-01,2025,4,2025Q4,11,Nov
20251201,2025-12-01,2025,4,2025Q4,12,Dec
20260101,2026-01-01,2026,1,2026Q1,1,Jan
20260201,2026-02-01,2026,1,2026Q1,2,Feb
20260301,2026-03-01,2026,1,2026Q1,3,Mar
20260401,2026-04-01,2026,2,2026Q2,4,Apr
20260501,2026-05-01,2026,2,2026Q2,5,May
20260601,2026-06-01,2026,2,2026Q2,6,Jun
