loan_id,date_key,grade_key,purpose_key,ownership_key,status_key,term_months,term_label,loan_amnt,int_rate,installment,emp_length,emp_length_num,annual_inc,annual_inc_capped,annual_inc_flagged,dti,dti_band,out_prncp,total_pymnt,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,delinq_2yrs,revol_util,total_acc,loan_to_income_pct,repayment_progress_pct,income_band,loan_size_band
100000,20240901,10,6,1,2,60,60 months,8100,20.67,217.63,2 years,2,54500,54500,0,4.09,Low (0–10),6231.32,3009.02,2557.67,451.35,0.0,0.0,0,94.3,35,14.86,31.58,50–75K,Medium (5–10K)
100001,20250401,10,3,2,2,36,36 months,16300,19.05,597.91,10+ years,10,54500,54500,0,16.39,Medium (10–20),8942.18,9761.82,8297.55,1464.27,0.0,0.0,0,82.4,9,29.91,50.91,50–75K,Large (10–20K)
100002,20251101,2,3,1,2,60,60 months,33300,18.39,852.68,3 years,3,56600,56600,0,10.31,Medium (10–20),29672.24,4920.37,4182.31,738.06,0.0,0.0,0,33.1,8,58.83,12.56,50–75K,Very Large (20K+)
100003,20250301,9,3,2,2,36,36 months,8100,26.03,326.48,10+ years,10,59100,59100,0,18.19,Medium (10–20),5433.39,3299.42,2804.51,494.91,0.0,0.0,1,72.3,26,13.71,34.62,50–75K,Medium (5–10K)
100004,20251001,9,7,3,2,36,36 months,22000,10.6,716.09,10+ years,10,75600,75600,0,28.24,High (20–30),18755.55,4727.64,4018.49,709.15,0.0,0.0,0,38.4,26,29.1,18.27,75–100K,Very Large (20K+)
100005,20240801,19,1,1,2,36,36 months,23000,22.85,888.53,5 years,5,85400,85400,0,15.79,Medium (10–20),14282.24,10521.19,8943.01,1578.18,0.0,0.0,0,7.3,15,26.93,38.88,75–100K,Very Large (20K+)
100006,20241201,6,3,2,2,60,60 months,12400,22.8,348.14,10+ years,10,67400,67400,0,21.43,High (20–30),11213.36,2689.74,2286.28,403.46,0.0,0.0,0,83.4,30,18.4,18.44,50–75K,Large (10–20K)
100007,20241101,9,3,2,2,36,36 months,31500,14.64,1086.41,< 1 year,0,39700,39700,0,6.4,Low (0–10),15690.4,16587.6,14099.46,2488.14,0.0,0.0,0,48.6,35,79.35,44.76,30–50K,Very Large (20K+)
100008,20251201,4,1,2,2,36,36 months,10100,13.11,340.84,7 years,7,127300,127300,0,15.09,Medium (10–20),5005.27,5526.26,4697.32,828.94,0.0,0.0,0,59.9,4,7.93,46.51,Over 100K,Large (10–20K)
100009,20260301,15,2,2,2,36,36 months,13400,14.27,459.74,10+ years,10,64200,64200,0,7.22,Low (0–10),7239.69,6647.05,5649.99,997.06,0.0,0.0,1,93.5,24,20.87,42.16,50–75K,Large (10–20K)
100010,20241101,11,3,1,2,36,36 months,7000,13.1,236.19,2 years,2,62300,62300,0,26.39,High (20–30),2893.37,4832.11,4107.29,724.82,0.0,0.0,0,89.3,3,11.24,58.68,50–75K,Medium (5–10K)
100011,20241101,16,3,3,2,36,36 months,5700,22.41,218.9,< 1 year,0,49000,49000,0,27.05,High (20–30),2606.06,3173.54,2697.51,476.03,0.0,0.0,2,35.5,37,11.63,47.32,30–50K,Medium (5–10K)
100012,20250301,18,6,1,2,60,60 months,30300,27.66,937.21,2 years,2,45600,45600,0,7.82,Low (0–10),22157.67,8165.33,6940.53,1224.8,0.0,0.0,0,54.4,37,66.45,22.91,30–50K,Very Large (20K+)
100013,20260401,16,7,1,2,60,60 months,7800,15.72,188.52,10+ years,10,65700,65700,0,13.71,Medium (10–20),5221.32,2688.28,2285.04,403.24,0.0,0.0,0,28.9,32,11.87,29.3,50–75K,Medium (5–10K)
100014,20250301,35,2,3,2,60,60 months,18100,28.89,573.32,5 years,5,60200,60200,0,22.77,High (20–30),5716.08,14136.38,12015.92,2120.46,0.0,0.0,0,89.6,31,30.07,66.39,50–75K,Large (10–20K)
